min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,tp_multiplier,max_risk_per_pair,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.005,0.7,50,2.0,0.08,2.0,0.025,0.004945978697067912,0.31118391546400165,0.4027110164719351,0.006711636033615704,64,0.4375,1.4897950506809596,60.609375
0.02,0.7,20,2.0,0.1,2.0,0.02,0.0016119772293235292,0.16492528805018403,0.1908441997115606,0.00420343028655518,55,0.4,1.2972501725680663,45.85454545454545
0.01,0.7,50,2.0,0.08,2.0,0.01,0.0007053067293483763,0.11015502911131303,0.1356168404762522,0.003152499259891593,63,0.3968253968253968,1.2772587906416544,55.714285714285715
0.005,0.7,20,2.5,0.1,1.5,0.02,0.0006770290699128236,0.05879630497767286,0.06962851500610275,0.005378253224729113,62,0.46774193548387094,1.205182570326401,50.96774193548387
0.02,0.7,20,2.0,0.1,1.5,0.025,0.000673439529412135,0.0563893219018134,0.065892545556866,0.0054702122241566745,72,0.4722222222222222,1.2310821056420196,31.26388888888889
0.015,0.7,50,2.0,0.08,2.0,0.015,0.00019378909312057658,0.023060102423651217,0.02742471485578307,0.005162147950337292,65,0.36923076923076925,1.1842771216990278,49.353846153846156
0.015,0.7,50,2.5,0.08,1.5,0.02,1.67449071345618e-05,0.0033643164432429797,0.003972814032560307,0.0064205867509146775,70,0.42857142857142855,1.153085357745209,47.114285714285714
0.005,0.7,20,2.0,0.08,4.0,0.01,-1.4456056126218755e-05,-0.001095154880791025,-0.00138296059401898,0.004069235846044277,47,0.2553191489361702,1.135029899873449,85.48936170212765
0.01,0.6,50,3.0,0.02,4.0,0.025,-0.0005203363584664475,-0.02933971908823594,-0.03858809593399768,0.011023204456076968,24,0.3333333333333333,1.0370275395836759,250.625
0.015,0.6,50,3.0,0.03,4.0,0.015,-0.0005155094343861856,-0.05406846189027951,-0.0726486702422453,0.005414717541551481,32,0.28125,1.0345596591872772,180.21875
0.005,0.7,20,3.0,0.08,1.5,0.01,-0.00037336746912347736,-0.054779390372970437,-0.06859107423012865,0.004544614314241177,52,0.46153846153846156,1.0828090003123378,83.09615384615384
0.01,0.6,50,2.5,0.08,1.5,0.015,-0.0005647580414224649,-0.056584248660762705,-0.06408913826623258,0.005833097299749217,72,0.4444444444444444,1.112427913231834,48.09722222222222
0.02,0.6,20,2.5,0.08,2.0,0.015,-0.0005080327636892616,-0.06132737914094348,-0.0738605986189511,0.004578701965069354,48,0.375,1.0791008613258943,67.70833333333333
0.02,0.7,20,2.0,0.08,2.0,0.01,-0.0003936140541310306,-0.06627179661071507,-0.08021631116992248,0.003937584087879748,64,0.359375,1.1068091451640842,50.203125
0.01,0.4,20,3.0,0.02,3.0,0.025,-0.0013152343156616552,-0.07166213979728649,-0.0888539691156052,0.010634136118405127,48,0.2916666666666667,1.0373584492704735,123.35416666666667
0.02,0.5,50,3.0,0.02,4.0,0.015,-0.0005729394131244044,-0.07443963459552984,-0.09629502358861157,0.005602775656399403,29,0.27586206896551724,1.0204210924295,205.9655172413793
0.02,0.5,20,2.0,0.1,2.0,0.02,-0.0008092792936501791,-0.08022917059120314,-0.08970237102650443,0.005541267887794483,56,0.375,1.0993368672670307,39.767857142857146
0.02,0.4,20,2.5,0.1,4.0,0.015,-0.0005772531614973559,-0.08205384870204802,-0.09981499777251462,0.004920195520723501,17,0.29411764705882354,0.9752495226510718,150.58823529411765
0.015,0.7,20,2.0,0.1,2.5,0.025,-0.0011653300481605402,-0.08342448579936364,-0.09495216612622565,0.008715443885244277,43,0.3488372093023256,1.0632711333340739,68.65116279069767
0.005,0.7,50,2.0,0.08,2.5,0.02,-0.0013042550292864325,-0.09595374132408135,-0.12187908117578286,0.00814240756412958,55,0.32727272727272727,1.0604246221878735,72.58181818181818
0.01,0.7,50,2.5,0.08,2.5,0.015,-0.0010948226272605825,-0.10181076558072245,-0.12828076861131882,0.007293671350061025,46,0.30434782608695654,1.0196985295898995,87.58695652173913
0.015,0.6,20,3.0,0.02,4.0,0.01,-0.0006729229155616486,-0.10194526395684729,-0.13708027824231525,0.004703614827540396,30,0.3,0.9804968234755059,197.7
0.02,0.5,50,2.5,0.1,2.5,0.01,-0.0005202619255436003,-0.109389203561896,-0.1251282540965371,0.0029866032049449287,27,0.3333333333333333,0.9977755848508699,79.70370370370371
0.005,0.7,50,2.5,0.08,2.0,0.02,-0.0015762212580458436,-0.1152719309296791,-0.14428384918700113,0.00994026653320487,51,0.35294117647058826,1.0258154857478337,79.25490196078431
0.01,0.6,50,2.5,0.08,2.0,0.015,-0.0011736249895267247,-0.11791861112609002,-0.14412418014584802,0.006300505795208901,50,0.38,1.0235480025298214,82.08
0.01,0.7,50,2.5,0.08,3.0,0.015,-0.0012902930721937446,-0.11806211928765689,-0.14978172260862022,0.007525069242893265,36,0.2777777777777778,0.9676822694654711,113.55555555555556
0.005,0.7,20,2.5,0.08,2.0,0.01,-0.0008056740973053092,-0.11999507082662504,-0.14942059001329439,0.005005993017066249,55,0.36363636363636365,1.0319105066152592,74.32727272727273
0.01,0.5,20,2.5,0.02,4.0,0.025,-0.0019652577770022618,-0.12183819268185818,-0.15694646264223552,0.0081161453695071,42,0.2619047619047619,0.9988854979557665,142.02380952380952
0.01,0.5,20,2.5,0.02,4.0,0.01,-0.000791283280133066,-0.12381979192583657,-0.15947374038801362,0.003263499098893106,42,0.2619047619047619,0.9983843549886774,142.02380952380952
0.01,0.6,20,3.0,0.05,2.5,0.01,-0.0009264858588953212,-0.13302377489444206,-0.1638327514227433,0.004501787212419463,53,0.32075471698113206,1.0072111335203748,103.41509433962264
0.015,0.5,20,3.0,0.02,4.0,0.015,-0.0013557445127527171,-0.13509905304864023,-0.1576513949987974,0.005940006411326997,29,0.27586206896551724,0.9421614205304493,205.75862068965517
0.02,0.6,20,2.0,0.1,2.0,0.02,-0.0014775179476797348,-0.1352191161622633,-0.1428432638160401,0.006385336194115086,60,0.36666666666666664,1.0570258448688303,44.05
0.02,0.5,20,3.0,0.1,2.0,0.015,-0.0010260777338703337,-0.13642570561680067,-0.1565867859680302,0.004653205031330057,34,0.3235294117647059,0.9933094809916334,77.91176470588235
